V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Thank you for filling out the midterm evaluation for EDUC2201. Your / honest and clear feedback will help me create a more effective and / meaningful learning experience for you for the remainder of th...,I am in the:,"What are the strongest features of this course and of my /  teaching? In other words, what contributes most to your learning?",What specific suggestions do you have for changes that I can make /  to improve the course or how it is taught?,What digital tools were the most interesting and/or useful to you /  and why?,What course experiences were the most interesting and/or useful /  to you and why?,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me consider technology in a different way.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me consider teaching in a different way.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me feel confident to develop digital materials to support learning.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course helped me feel confident to teach with technology.,Please indicate how strongly you agree with each statement. Thank / you for your honesty!-This course provided useful frameworks for teaching with technology.,This course has helped me on my path to becoming a member of the / technology-using teaching profession.,Please explain why you chose the answer you did for the above / question.,In what ways has your thinking about teaching with technology in / general changed?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_57oCtPI9rPAd3Lv,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:37,2014-10-15 09:44:01,1,1,1,free exploration with group activities,more stucture of outcomes,mindmup and glogster and the ipad screenchomp,the most interesting has been the discussion on how technology is good for education.,2,2,2,2,2,2,I do not fear the idea of technology in a classroom. I can see how it benefits children,it has approved the idea of the usefulness of teaching with technology.,39.484100341797,-80.060096740723,-1,
R_3kQsNkWnL98bcjP,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:43,2014-10-15 09:44:09,1,1,1,getting my ready for teaching in the classroom ,remind us about the due dates for papers and give us more time after the project to work on the paper and explain it more ,screen chomp ,using the website to ask questions about the core test ,1,1,1,1,1,1,I think you are a really good professor ,people depend on it more ,39.484100341797,-80.060096740723,-1,
R_77mZDQn1r7lZaGF,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:32,2014-10-15 09:44:29,1,1,1,When we have class discussions and handouts ,more hands on teaching ,glogster because it was an easy way to make a nice poster ,The videos on texting and language ,2,2,2,2,2,2,I am confident with technology but I may not use all of the technology we learned about ,I learned about more ways to incorporate technology in the classroom (certain websites and videos) ,39.484100341797,-80.060096740723,-1,
R_3PCtZ36Qo50Ogdf,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:41,2014-10-15 09:44:53,1,1,1,When we have discussions and class projects.,Explain things more and be more clear and understanding.,Glogster and because you can make more visual tools.,The videos that we watched.,2,2,3,2,2,3,I don't remember the website names and which one was which and we used them once.,More things that I did not know about technology.,39.484100341797,-80.060096740723,-1,
R_0DKcgqY5AYoXYrz,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:39:59,2014-10-15 09:45:11,1,1,1,hands on activities such as this last activity. ,explain things in better detail. ,glogster and trello ,videos and power points that were used. ,2,2,1,1,1,2,we have so many websites I forget the names of them and the password and username.... I think a worksheet with all the websites should be gave out. ,there is a lot more out there to use with technology and teaching. ,39.484100341797,-80.060096740723,-1,
R_ebRXcwNFyCBqLEp,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:55,2014-10-15 09:45:24,1,1,1,Hand on things.,N/a,I like the screenchomp a lot. It was really cool to play around with.,N/a,4,4,4,4,4,2,I'm really not going into teaching so I won't really use much technology.,It is a lot easier and more exciting ,39.484100341797,-80.060096740723,-1,
R_42ESj0VFWisZF09,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:39:39,2014-10-15 09:45:52,1,1,1,You are creative and want to keep everyone interested. ,I feel we waste a lot of time sometimes,"I liked glogster, ",the videos we watched and the different tools we used,2,2,2,2,2,2,I agree I will use technology in the class,,39.484100341797,-80.060096740723,-1,
R_9NAYMcXgT1Jqi1v,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:40:58,2014-10-15 09:46:24,1,1,1,I like how much information Dr. Price brings to class each day.,I would change the students that I have class with haha I dislike that I got a B for the midterm when I feel that I've worked really hard in the class.,"I LOVE Google drive, docs, the whole Google thing","I like that my education class's are more personal, that I get to know my professors more, and I can be more comfortable in class.",2,1,1,2,2,1,"Well I'm not tech savy, but I'm slowly getting there with this class. ","I know that I can integrate technology slowly into my classroom, and not all at once. ",39.484100341797,-80.060096740723,-1,
R_6zXlGwdt3zQPIRT,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:07,2014-10-15 09:46:51,1,1,1,"I like the warm-ups that get me to wake up, I also like how I feel like I get some independence in my work.",none what so ever!!!!,I liked screen chomp and xmind! Because I like how I can incorporate technology into my teaching.,"I liked the meeting we had with you, you helped me understand taskstream more and introduced me to my advisor! Thank you for that!!",1,1,1,1,1,1,It has introduced me to technology I didn't even know existed and I feel that it makes me feel more comfortable with teaching with the technology.,I now feel more comfortable with using technology while teaching.,39.484100341797,-80.060096740723,-1,
R_8iaRTQRO9lfJQON,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:19,2014-10-15 09:47:14,1,1,1,"I like how understanding you are with everyone. I like that you give us time to finish our work, and actually care that we understand what you're teaching. Not all teachers are like that.","I don't really know what you could change, I'm just not as comfortable with the webquests.",I really like the XMind app that we used.,The fact that everyone was always interacting with each other was very heplful to me to help break me out of my shell a little bit.,1,2,2,2,1,2,"I realized how important technology really is in life, and it is a good idea to embrace it as a teacher.","I know that technology will never cease to exist, and that is a good thing. We just need to realize when it's a good time to use it, or not use it.",39.484100341797,-80.060096740723,-1,
R_3sKClwIEBpfNhel,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:56,2014-10-15 09:47:27,1,1,1,I really like that everybody can be open and that its not an up-tight environment. We are not afraid of making mistakes or anything like that. ,I honestly do not think there is a whole lot of room for improvement. This is my favorite class and you endorse the atmosphere. ,I liked using the twitter for only the kids in this classroom while we watched the stand up comedian video.,The building of the poster was fun and interactive. ,2,1,2,2,1,2,This course has definitely aided what i already knew about technology. ,I never thought you could teach with so much technology incorporated. ,39.484100341797,-80.060096740723,-1,
R_3acqlBPkwj9hK3H,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:41:10,2014-10-15 09:48:07,1,1,1,"The hands on and cognitive warm ups.  This helps with staying awake, even on the roughest days.  ","youre very level headed and make it easy to approach, keep doing what youre doing",Glogster was probably the most interesting because it shows how to set up a poster which is helpful when it comes to helping with programs and such. ,"i take away everything from this class even though it may not be used,",1,2,2,3,2,2,Technology is sstill something to get used to,be open minded and dont shut the door so quickly,39.484100341797,-80.060096740723,-1,
R_8hSglTmpuy8iltX,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:42:41,2014-10-15 09:50:11,1,1,1,You are definitely are a great teacher because you take the time to work with students individually to help them learn. You also express a lot of knowledge about your course.,"At the beginning of the semester take a day to show students how to access all computer and internet programs for those who are either not tech savvy, have not used computers or internet much or have a hard time connecting learning to the internet.",Laptop,Did not really have much to do with the course but until I met you I never really felt teachers cared about my success.,4,4,4,4,4,1,Before this course I never really used technology outside of Facebook and e-mail. Now I know how to use it as a teaching tool.,From zero knowledge to a pretty good understanding,39.484100341797,-80.060096740723,-1,
R_eEyJ7iDpiiCZG1D,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 09:45:02,2014-10-15 09:50:32,1,1,1,You make the whole class involved with your instruction whether they want to or not and i feel that is a good thing in a teacher.,More time in class to do work in class,i liked the one when we drew a picture and told a story as we drew it,The diversity assignment was interesting because it made me look at teaching differently,2,1,2,2,1,2,,,39.484100341797,-80.060096740723,-1,
R_6XB0eF9A79W1n6Z,Default Response Set,Anonymous,,,98.236.90.188,0,2014-10-15 12:29:44,2014-10-15 12:40:53,1,1,1,I like that we have a lot of group time and if we have problems about something that we can come talk to you about it.,"For the most part, I think the way it is taught is just fine. I don't think there needs to be any changes.",I think Google Drive was pretty good. I like that we can share documents with each other and be able to edit them.,The experiences that were the most interesting was doing the warm-ups. They definitely help me get in the mindset for the class time.,1,1,2,2,1,1,I like technology but I never considered myself using it as a teacher because I wasn't what I should do with it. Now that I am in this class I have more options to choose from.,I think technology can help with lesson plans but I wouldn't want to use it for all of them. I would like to give the students a variety of things to do that doesn't have to deal with technology but it will be a part of it.,39.645599365234,-79.943298339844,-1,
R_8wudaIsl0Je2yoZ,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:45:16,2014-10-15 12:45:47,1,1,2,,,,,,,,,,,,,39.484100341797,-80.060096740723,-1,
R_6hDRZgrBSZmpusd,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:48:06,2014-10-15 12:48:39,1,1,,,,,,,,,,,,,,39.484100341797,-80.060096740723,-1,
R_eanUMW9u0iQ9qcZ,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:45:29,2014-10-15 12:48:46,1,1,2,You make things relatable to us.,I think we should try to do one thing at a time.,"Taskstream, Google Drive, Screen Chomp",Pepperoni roll comparison to rubric,2,2,2,2,2,2,"Even though I'm not going to be a school teacher, I hope to educate others in my profession in some way.",I am more confident in it.,39.484100341797,-80.060096740723,-1,
R_9ElsSfijBq7nDPn,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:44:44,2014-10-15 12:49:23,1,1,2,you make sure all assignments are clear and help us on the Webquest in class. ,Be more clear with assignments,socrative and glogster,Group work was helpful because it gives us practice for the future. ,2,1,2,2,1,2,this class has given me many resources and ideas I can use in the future in the classroom as a teacher. ,there are more ways to teach with technology than I alreay knew of. ,39.484100341797,-80.060096740723,-1,
R_ac4wG1rF0tWJJD7,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:44:09,2014-10-15 12:49:43,1,1,2,I learned alot things about technology that I never thought of. I learned to teach people through technology.,We use alot of things for task stream and we just should use it for the big things. Its alot to turn things in.,The laptop because we use it 90 percent of the time.,What texting does to your writing because I'd learned so much things from that guy in the video.,1,1,2,2,2,1,Because I know how to use different websites and technology to teach.,Im just going to help people out because im not in the program.,39.484100341797,-80.060096740723,-1,
R_dcK1LtnUrraTm2F,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:45:35,2014-10-15 12:52:05,1,1,2,I like how we use technology to help us learn because it is part of our lives and it is easier to understand.,The only thing that i would want to change is just to get the material explained a little better. Everything else is going great.,"I like trello the best, because i use it and it is very helpful to keep track of my work.",I liked when we watched the charlie brown special on when they were studying to help us find out what our study habits were.,1,2,1,1,1,2,"I want to be able to use technology in teaching, but i dont want to use it for everything.","I wasnt thinking of using technology while teaching, but i realized that i will need to ",39.484100341797,-80.060096740723,-1,
R_ergB6Ub2lT5OdZH,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:49:15,2014-10-15 12:53:17,1,1,2,,,,,2,2,2,3,2,2,Because it did help me a lot in the class with all the technology ,,39.484100341797,-80.060096740723,-1,
R_efhZClY3VfQcUHX,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 12:45:54,2014-10-15 12:54:33,1,1,2,I have learned the importants of working in a group and how technology is vital to education /  /  /  /  / of,I think the class is well thought out.,x mind  and taskstream,the essays to prepare us for the core,1,1,2,1,1,1,I was unsure about tech before.,i believe now tech is truly needed in the class room,39.484100341797,-80.060096740723,-1,
R_43dIzap7L540kFD,Default Response Set,Anonymous,,,129.71.73.243,0,2014-10-15 13:13:32,2014-10-15 13:22:26,1,1,1,I like the steps being laid out for the webquest and our accessibility to these items. ,"I'd like to be told more of when things are due, as in make due dates clearer. ",Screenchomp because I just thought it will be a good tool for my classroom in the future. Glogster was another interesting one in that it will be a good classroom tool. ,I like the diversity lesson we're on now because it applies to me more. I mean this from the standpoint that I have already taken and passed the CORE test so the last webquest didn't really matter to me as much. ,2,2,2,1,2,2,I like that it gives me some good tools to use in the classroom but I am not completely sold on the idea of using a lot of technology in the classroom. ,I am more willing to use technology now than I was before. ,39.484100341797,-80.060096740723,-1,
R_ewF6hamkFHMdyWV,Default Response Set,Anonymous,,,129.71.73.244,0,2014-10-15 13:09:37,2014-10-15 13:34:39,1,1,2,"I think I have benefited the most of the websites/tools to do assignments on. It opened up new ways of learning and teaching, which always interests me. I appreciate your flexibilty with due dates and your understanding that adjusting to the technology tools is harder for some than others. ",My biggest struggle in this course was feeling lost at times. I felt that I didn't fully understand how or why we were doing things. I think clearer instruction would improve the course so new students understand the reason for what we do before we begin it. ,"I can't remember the specific name of the website, but I really enjoyed when we watched the video in class and the entire class could write their opinions of what we watched . It was cool to hear everyone's thoughts without having a big class dicussion and that everyone could see what everyone was writing. ","The most useful experience was our cognititve warm-ups. I know this isn't anything that has to do with technology, but it was the most useful and interestiing to me. It got the class going, and made the atmosphere more comfortable. I really think it was a good way to begin, get us going, and made me more comfortable with the class. ",2,2,2,2,2,2,"I chose agree because I think technology-using teaching is important. The world of learning with technology changes all the time, and it is becoming a ""way of life."" This course opened a gate to many roads of technology in a classroom. I want to continue down different roads and see what all there is out there to help my students learn and grow. ","It has changed because I was always turned off by technology in a classroom because I was placed at a computer and basically had to teach myself. The previous teachers I had  abused technology. It was never incorporated with anything else but logging on a blog, reading my instruction, and using the internet to do everything for me. There was no balance like we received in this course. ",39.484100341797,-80.060096740723,-1,
R_5bUKkWNFKXmcLkh,Default Response Set,Anonymous,,,129.71.73.247,0,2014-10-17 12:06:38,2014-10-17 12:12:41,1,1,1,Using programs that I never heard of before,The way the course is taught,Xmind was interesting,The group work was a good experience because you get to know your classmates,1,1,1,1,1,1,I've used programs I haven't used before,It hasn't changed a whole lot,39.484100341797,-80.060096740723,-1,
R_021gljEsqgPw1Y9,Default Response Set,Anonymous,,,76.92.69.133,0,2014-10-21 20:01:15,2014-10-21 20:04:30,1,1,2,The fact we go over everything in class just incase you dont understand soemthing.,so far I like everything.,I've liked taskstream a lot ,Taskstream has helped kept everything organized,2,1,2,1,2,1,I feel like I can now be more creative.,From trying to be an old fashioned teacher and teaching the way I learned to geting up to date. ,39.484100341797,-80.060096740723,-1,
